epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1521.97,1.32676,1.99499,1.37107,1.16863,0,0.52978,0.55779,0.47147,0.27585,0.50093,0.50794,0.44645,0.14119,1.7123,2.61288,1.85041,1.41857,0,0.00104703,0.00104703,0.00104703
29,1580.25,1.32475,2.00104,1.35994,1.19136,0,0.68308,0.53511,0.5372,0.32076,0.57543,0.48646,0.46336,0.16895,1.60114,2.62808,1.68357,1.29754,0,0.00103288,0.00103288,0.00103288
30,1636.37,1.36964,2.18726,1.38141,1.20855,0,0.66768,0.51717,0.5296,0.30278,0.64448,0.46031,0.4958,0.17601,1.68481,2.62736,1.69576,1.36192,0,0.00101873,0.00101873,0.00101873
31,1689.5,1.33037,1.9722,1.28238,1.16086,0,0.63137,0.61952,0.59489,0.33545,0.59251,0.59218,0.51188,0.17205,1.73822,2.72041,1.74622,1.41039,0,0.00100459,0.00100459,0.00100459
32,1743.29,1.28127,1.98613,1.24956,1.14218,0,0.6803,0.54774,0.57213,0.31496,0.62266,0.53869,0.51942,0.16734,1.69385,2.69642,1.76848,1.38693,0,0.00099044,0.00099044,0.00099044
33,1796.4,1.32003,1.99685,1.24069,1.12714,0,0.71046,0.53175,0.59476,0.30344,0.52933,0.53318,0.45598,0.15865,1.73167,2.62285,1.69466,1.3902,0,0.000976293,0.000976293,0.000976293
34,1851.25,1.27641,2.03033,1.23372,1.12363,0,0.93118,0.43184,0.57492,0.31653,0.59969,0.45575,0.47328,0.15389,1.64694,2.59277,1.64121,1.31802,0,0.000962146,0.000962146,0.000962146
35,1904.51,1.26366,1.96537,1.19811,1.13272,0,0.66309,0.41486,0.46988,0.27794,0.69259,0.37759,0.4124,0.12796,1.6785,2.62417,1.8348,1.3576,0,0.000947999,0.000947999,0.000947999
36,1957.53,1.22011,1.94884,1.19012,1.13135,0,0.72596,0.51996,0.55598,0.35179,0.79331,0.41556,0.494,0.17165,1.56302,2.59201,1.67298,1.32264,0,0.000933851,0.000933851,0.000933851
37,2012.05,1.23459,1.9094,1.18202,1.109,0,0.80532,0.48292,0.52896,0.31067,0.82085,0.50144,0.56858,0.20068,1.73643,2.55207,1.80315,1.455,0,0.000919704,0.000919704,0.000919704
38,2065.23,1.2089,1.89589,1.16982,1.09804,0,0.77756,0.43179,0.50801,0.29373,0.47481,0.57674,0.51787,0.16763,1.7423,2.68593,1.75401,1.43089,0,0.000905557,0.000905557,0.000905557
39,2118.14,1.2568,1.92856,1.18182,1.13463,0,0.67539,0.48746,0.52883,0.29352,0.57756,0.39298,0.43555,0.13473,1.67717,2.59753,1.71512,1.39915,0,0.00089141,0.00089141,0.00089141
40,2176.29,1.21743,1.7939,1.15856,1.11909,0,0.75893,0.47763,0.5792,0.32258,0.69466,0.41052,0.47175,0.17404,1.67493,2.51472,1.66104,1.36451,0,0.000877263,0.000877263,0.000877263
41,2231.73,1.19821,1.88977,1.12143,1.08305,0,0.836,0.49007,0.59221,0.34546,0.78548,0.45326,0.51446,0.1615,1.6187,2.61098,1.59071,1.31494,0,0.000863116,0.000863116,0.000863116
